Step,AgentID,Type,Capital,Labor,Production,Price,Inventory,Budget,Productivity,Wage,Skills,Savings,Consumption
1,0,Worker,,0,,,,,,0.09514257104767096,0.0995,98.94460947185242,1.0
1,1,Worker,,0,,,,,,0.0625,0.0995,98.94460947185242,1.0
1,2,Worker,,0,,,,,,0.0625,0.0995,98.94460947185242,1.0
1,3,Worker,,0,,,,,,0.0625,0.0995,98.94460947185242,1.0
1,4,Worker,,0,,,,,,0.0625,0.0995,98.94460947185242,1.0
1,5,Worker,,0,,,,,,0.0625,0.0995,98.94460947185242,1.0
1,6,Worker,,0,,,,,,0.0625,0.0995,98.94460947185242,1.0
1,7,Worker,,0,,,,,,0.0625,0.0995,98.94460947185242,1.0
1,8,Worker,,0,,,,,,0.0625,0.0995,98.94444088592192,0.012995999999999341
1,9,Worker,,0,,,,,,0.0625,0.0995,98.93163733192544,1.0
1,10,Worker,,0,,,,,,0.0625,0.0995,98.93163733192544,1.0
1,11,Worker,,0,,,,,,0.0625,0.0995,98.93163733192544,1.0
1,12,Worker,,0,,,,,,0.0625,0.0995,98.93163733192544,1.0
1,13,Worker,,0,,,,,,0.0625,0.0995,98.93163733192544,1.0
1,14,Worker,,0,,,,,,0.0625,0.0995,98.93163733192544,1.0
1,15,Worker,,0,,,,,,0.0625,0.0995,98.93163733192544,1.0
1,16,Worker,,0,,,,,,0.0625,0.0995,98.93163733192544,1.0
1,17,Worker,,0,,,,,,0.0625,0.0995,98.93092522078457,0.025991999999998683
1,18,Worker,,0,,,,,,0.0625,0.0995,98.90424001194744,1.0
1,19,Worker,,0,,,,,,0.0625,0.0995,98.90424001194744,1.0
1,20,Worker,,0,,,,,,0.0625,0.0995,98.90424001194744,1.0
1,21,Worker,,0,,,,,,0.0625,0.0995,98.90424001194744,1.0
1,22,Worker,,0,,,,,,0.0625,0.0995,98.90424001194744,1.0
1,23,Worker,,0,,,,,,0.0625,0.0995,98.90424001194744,1.0
1,24,Worker,,0,,,,,,0.0625,0.0995,98.90424001194744,1.0
1,25,Worker,,0,,,,,,0.0625,0.0995,98.90424001194744,1.0
1,26,Worker,,0,,,,,,0.0625,0.0995,98.90420532256819,0.038987999999998024
1,27,Worker,,0,,,,,,0.0625,0.0995,98.90335026691683,1.0
1,28,Worker,,0,,,,,,0.0625,0.0995,98.90335026691683,1.0
1,29,Worker,,0,,,,,,0.0625,0.0995,98.90335026691683,1.0
1,30,Firm2,10.0,10,5.0,1.0915199761051289,0.0,19.847599395668343,1.0,0.0625,,,
